stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
LEK006,Laennec,AVENUE HENRI DUNANT 59510 HEM - COULOIR BUS,50.666403,3.198719,1,,0,6939,,0
LEK005,Laennec,AVENUE HENRI DUNANT 59510 HEM - COULOIR BUS,50.666397,3.198338,1,,0,6939,,0
WBO002,Bourget,ROUTE D'ARRAS 59155 FACHES THUMESNIL - AU DROIT DU NICODEME,50.603462,3.056463,1,,0,360,,0
HEG002,Hantay Eglise,RUE MIRABEAU 59496 HANTAY - À GAUCHE DU N°7,50.532817,2.866185,1,,0,5673,,0
PPM001,Mairie,RUE NATIONALE 59185 PROVIN - AU DROIT DU N°37,50.512404,2.914807,1,,0,63,,0
BML001,College Blum,RUE JULES FERRY 59136 WAVRIN - AU DROIT DU COLLÈGE BLUM,50.572247,2.940164,1,,0,2219,,0
HTR001,Elsa Triolet,RUE JULES GUESDE 59510 HEM - AU DROIT DU N° 23,50.65371,3.188468,1,,0,5238,,0
EGL001,Les Aulnes,RUE JULES GUESDE 59390 LYS LEZ LANNOY - AU DROIT DU N° 431,50.665128,3.206629,1,,0,5963,,0
FHO002,Hoche,RUE CARNOT 59155 FACHES THUMESNIL - A L'OPP DU N°38,50.606905,3.065859,1,,0,344,,0
MRS003,Route De Sainghin,RUE JOLIOT CURIE 59274 MARQUILLIES - ANGLE R DE LA PLACE DU CHATEAU,50.553618,2.873249,1,,0,1201,,0
3FE001,Trois Fermes,RUE JULES GUESDE 59510 HEM - AU DROIT DU N° 303,50.661516,3.19855,1,,0,7042,,0
OCC001,Ctre Commercial,CHEMIN DE TEMPLEMARS 59155 FACHES THUMESNIL - AU DROIT AUCHAN,50.581819,3.083022,1,,0,5549,,0
GAR001,Les Garennes,RUE PAUL BRAME 59840 LOMPRET - À L'OPPOSÉ DU N° 12,50.661569,3.005875,1,,0,5957,,0
TON001,Tonkin,RUE DE COHEM 59390 LYS LEZ LANNOY - A L OPPOSE DU N° 131 BIS,50.675495,3.217142,1,,0,1088,,0
LOP008,Mairie,RUE DE L'EGLISE 59840 LOMPRET - AU DROIT DU N° 71,50.669733,2.990402,1,,0,1037,,0
AGO002,Agora,AVENUE PAUL BERT 59390 LYS LEZ LANNOY - A L'OPPOSE DU N° 176,50.674238,3.211022,1,,0,1093,,0
FCI001,Cimetiere,RUE HENRI DILLIES 59155 FACHES THUMESNIL - À GAUCHE DU N°170,50.591211,3.075707,1,,0,356,,0
HEB001,Bifur,RUE DU DOCTEUR COUBRONNE 59510 HEM - AU DROIT DE RÉSID DE LA MARQUE,50.652119,3.187608,1,,0,525,,0
LGO002,Alliance Nord-Ouest,BOULEVARD DE L ALLIANCE NORD OUEST 59130 LAMBERSART - 20 M AVANT LE FEU,50.65893,3.032101,1,,0,634,,0
VRS002,Viersen,AVENUE DE VIERSEN 59130 LAMBERSART - A L'OPPOSE DU N° 2,50.651816,3.011177,1,,0,673,,0
VCE002,Cheval Blanc,RUE DE PERENCHIES 59237 VERLINGHEM -,50.67968,2.995628,1,,0,4494,,0
COI002,Bon Coin,RUE D ARMENTIERES 59236 FRELINGHIEN - ANGLE RUE DU BON COIN,50.706961,2.928852,1,,0,384,,0
SLU003,Jeanne D'Arc,RUE JB  LEBAS 59390 LYS LEZ LANNOY - A L'OPPOSE DU N° 81,50.671025,3.218814,1,,0,5059,,0
HTR002,Elsa Triolet,RUE JULES GUESDE 59510 HEM - A L'OPPOSE DU N° 25,50.653743,3.188807,1,,0,5238,,0
ARO001,Av. De  Roubaix,AVENUE DE ROUBAIX 59155 FACHES THUMESNIL - AU DROIT DE L'ECOLE PASCAL,50.596948,3.07045,1,,0,5544,,0
TTE001,Watteeuw,RUE DES ECOLES 59510 HEM - A L OPPOSE DU N° 124,50.665255,3.196173,1,,0,5622,,0
VEM001,Verdun,RUE DE VERDUN 59274 MARQUILLIES -,50.554281,2.865117,1,,0,7805,,0
EUG001,Les Terres Ocres,RUE EUGÈNE DESCAMPS 59130 LAMBERSART - À L'OPPOSÉ DU N° 141,50.651463,3.003525,1,,0,5946,,0
FRA002,Rue De La Franquise,RUE DU MOISNIL 59274 MARQUILLIES - AU DROIT DU N° 1071,50.549844,2.851412,1,,0,1202,,0
